ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.91,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.92,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.93,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.94,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.95,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.96,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.97,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.98,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.99,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.100,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.101,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.102,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.103,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.104,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.105,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.106,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.107,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.108,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.109,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.110,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.111,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.112,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.113,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.114,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.115,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.116,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.117,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.118,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.119,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.120,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.121,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.122,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.123,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.124,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.125,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.126,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.127,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.128,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.129,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.130,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.131,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.132,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.133,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.134,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.135,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.136,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.137,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.138,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.139,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.140,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.141,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.142,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.143,none,f,f
