AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_19_46,urn:cts:greekLit:tlg5026.msAim.hmt:18.11,"τὸν δ' ἠμείβετ' ἔπειτα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.94
urn:cite:hmt:reuse.18_19_47,urn:cts:greekLit:tlg5026.msAim.hmt:18.13,"Ἄρεω",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_19_48,urn:cts:greekLit:tlg5026.msAim.hmt:18.14," ὑφ' Έκτορος δίου",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_19_49,urn:cts:greekLit:tlg5026.msAim.hmt:18.16,"αδινᾷ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.124
urn:cite:hmt:reuse.18_19_50,urn:cts:greekLit:tlg5026.msAim.hmt:18.18,"υἱὸς εηος",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.138
urn:cite:hmt:reuse.18_19_51,urn:cts:greekLit:tlg5026.msAim.hmt:18.19,"ἀγορεῦσαι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.142
urn:cite:hmt:reuse.18_19_52,urn:cts:greekLit:tlg5026.msAim.hmt:18.21,"ἄνωγεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.176
urn:cite:hmt:reuse.18_19_53,urn:cts:greekLit:tlg5026.msAim.hmt:18.23,"Όλυμπον ἀγάννιφον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.186
urn:cite:hmt:reuse.18_19_54,urn:cts:greekLit:tlg5026.msAim.hmt:18.24,"Άρεω",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.213
urn:cite:hmt:reuse.18_19_55,urn:cts:greekLit:tlg5026.msAim.hmt:18.26,"ξίφεσσι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.231
urn:cite:hmt:reuse.18_19_56,urn:cts:greekLit:tlg5026.msAim.hmt:18.28,"ἠέλιον μὲν έπειτα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.239
urn:cite:hmt:reuse.18_19_57,urn:cts:greekLit:tlg5026.msAim.hmt:18.29,"ἐπι θρωσμῷ πεδίοιο",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.243
urn:cite:hmt:reuse.18_19_58,urn:cts:greekLit:tlg5026.msAim.hmt:18.31,"μαχέσσετμαχέσσεται",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.265
urn:cite:hmt:reuse.18_19_59,urn:cts:greekLit:tlg5026.msAim.hmt:18.33,"πιθοίμεθα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.273
urn:cite:hmt:reuse.18_19_60,urn:cts:greekLit:tlg5026.msAim.hmt:18.34,"κεκόρησθον",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.287
urn:cite:hmt:reuse.18_19_61,urn:cts:greekLit:tlg5026.msAim.hmt:18.36,"μετεφώνεε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.323
