urn:cite:hmt:reuse.cit_25,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"δαιμονίη· τί νύ σε ΠρίαμοςΠριάμοιό τε παῖδες τόσσα κακὰ ῥέζουσιν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:4.31-4.32"
urn:cite:hmt:reuse.cit_26,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"αὔτως ἐνδίεσαν ταχέας κύνας ὀτρύνοντες",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:18.584"
urn:cite:hmt:reuse.cit_27,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθενται",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:17.269"
urn:cite:hmt:reuse.cit_28,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"ἵπποι ἀερσίποδες· πόλεως πεδίοιο δίενται",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:23.475"
urn:cite:hmt:reuse.cit_29,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τὸντόν ῥα κύνες τὲ καὶ ἄνδρες ἀπὸ σταθμοῖο δίωνται",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:17.110"
urn:cite:hmt:reuse.cit_30,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"ὁ δ' οὐδ' οὑ παιδὸς ἀμύνει",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:16.522"
urn:cite:hmt:reuse.cit_31,urn:cts:greekLit:tlg5026.msA.hmt:18.68,"urn:cts:greekLit:tlg0012.tlg002.11.584 στεῦτο δὲ διψάων",urn:cite:hmt:reusetype.quote1,"null"
urn:cite:hmt:reuse.cit_32,urn:cts:greekLit:tlg5026.msA.hmt:18.69,"urn:cts:greekLit:tlg0012.t1g001.16.244-16.245 ἥ οι τότε χεῖρες ἄαπτοι μείνοντο",urn:cite:hmt:reusetype.quote1,"null"
urn:cite:hmt:reuse.cit_33,urn:cts:greekLit:tlg5026.msA.hmt:18.81,"κλυτὸς Ἱπποδάμεια",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001.msA:2.742"
urn:cite:hmt:reuse.cit_34,urn:cts:greekLit:tlg5026.msA.hmt:18.81,"θερμὸς ἀυτμή",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0013.tlg004:4.110"
urn:cite:hmt:reuse.cit_35,urn:cts:greekLit:tlg5026.msA.hmt:18.84,"ἡ οὐ μέμνῃ ὅτε τ' ἐκρέμνῳ ὑψόθεν·",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012:tlg001:15.18"
urn:cite:hmt:reuse.cit_36,urn:cts:greekLit:tlg5026.msA.hmt:18.86,"ἕζετο δ' ὀρθωθείς",urn:cite:hmt:reusetype.quote1,"urn:cts:tlg0012:tlg001:23.235"
