SignURN,ScholionURN,SignImage
urn:cite:hmt:critsigns.asterisk,urn:cts:greekLit:tlg5026.msA.hmt:18.65,"urn:cite:hmt:vaimg.VA242VN-0744@0.229,0.0992,0.025,0.0218"
urn:cite:hmt:critsigns.obelos,urn:cts:greekLit:tlg5026.msA:hm:18.128,"urn:cite:hmt:vaimg.VA246VN-0748@0.23,0.2344,0.027,0.0135"
